18
1,7,7,6,3,6,3,6,2,2,3,7,5,5,5,7,5,6
2,10,10,10,8,10,10,11,14,11,14,11,5,7,5,13,5,14
10,10,10,11,5,13,12,10,11,14,10,10,3,13,5,7,5,12
10,10,10,11,5,5,6,8,8,10,8,9,12,1,5,13,7,4
10,10,10,11,6,3,13,4,3,15,5,5,7,5,5,5,15,4
11,15,14,10,9,13,5,5,14,9,5,5,13,6,1,7,13,4
10,10,9,14,1,5,7,5,12,3,5,5,5,13,7,13,7,4
10,10,3,15,5,5,15,7,5,15,6,2,3,4,11,5,14,2
11,15,14,10,3,5,13,14,3,14,11,15,14,2,10,3,14,10
10,10,10,10,9,7,4,10,9,12,10,10,11,13,12,8,9,14
11,14,8,9,7,13,6,11,5,5,12,8,11,5,5,5,5,14
10,9,7,4,11,7,12,9,7,5,7,4,9,7,5,5,5,14
10,1,15,4,10,10,3,7,14,3,12,3,7,15,7,7,6,10
10,1,15,5,14,9,14,10,11,15,5,12,8,8,10,11,14,10
9,5,13,6,10,3,14,11,14,10,3,6,3,4,10,10,10,10
1,7,7,12,8,8,8,10,11,15,14,10,10,2,11,14,10,10
3,12,11,7,5,5,5,12,10,8,8,11,13,13,14,10,10,10
9,5,13,13,5,5,5,4,9,5,5,13,5,4,8,8,8,8
