18
1,7,5,6,3,6,3,7,7,4,3,5,7,5,7,5,4,2
1,13,6,11,14,10,10,10,11,4,10,1,13,7,13,5,6,10
3,5,12,8,8,9,14,8,11,4,11,5,4,9,5,5,14,10
10,3,7,7,5,6,9,6,9,7,15,6,2,3,5,7,13,14
11,12,8,9,4,10,2,10,1,14,10,9,15,12,1,13,6,8
11,5,5,5,5,15,13,13,5,14,10,2,9,7,5,5,13,4
10,3,5,7,5,12,1,5,7,14,11,15,7,13,7,5,5,4
10,10,2,9,7,5,5,5,13,12,10,10,11,5,13,5,5,6
9,15,13,7,13,4,3,7,7,6,10,10,10,2,3,7,6,10
3,15,5,15,5,5,12,10,9,12,11,14,9,15,13,14,10,10
8,11,5,13,5,5,4,9,7,6,11,15,5,15,4,10,11,14
1,15,5,5,5,5,5,7,12,10,10,10,1,13,6,10,10,8
3,15,5,5,5,5,5,15,4,10,10,10,1,5,14,10,10,2
9,15,5,4,2,1,5,15,4,10,10,11,7,7,12,9,13,12
1,15,5,5,14,3,5,13,4,11,12,10,11,12,3,4,2,2
2,10,3,6,10,11,7,5,5,13,5,14,11,4,11,4,10,10
11,15,12,10,11,14,9,5,7,5,4,10,11,5,15,5,15,14
8,8,1,12,8,8,1,5,13,5,4,8,9,4,9,4,8,8
