18
1,6,2,2,2,1,7,7,5,7,5,5,5,5,7,5,4,2
1,15,13,12,11,7,12,9,5,13,7,5,7,5,13,7,7,14
1,13,7,7,15,13,5,5,5,7,13,7,13,4,2,10,10,10
2,2,11,14,10,2,3,6,3,12,1,14,3,6,10,10,10,10
9,15,12,10,9,13,14,10,11,4,1,14,10,11,14,10,8,8
3,13,4,11,5,5,12,11,15,7,5,13,12,8,9,13,5,6
11,4,2,11,5,5,5,12,11,13,5,5,5,5,5,7,5,14
9,7,14,11,5,7,4,3,13,5,6,3,7,5,5,13,5,14
1,14,9,14,2,9,6,10,3,6,11,12,11,5,5,5,7,12
3,14,1,15,14,1,15,12,9,14,11,6,9,5,5,7,12,2
10,10,1,12,8,1,15,7,7,14,10,10,1,5,7,13,4,10
10,10,3,7,4,2,10,8,8,11,12,8,1,7,13,5,5,14
10,11,12,11,5,14,10,3,7,13,7,7,7,13,5,5,4,10
10,11,4,11,4,10,10,11,14,2,10,10,10,1,7,5,5,12
10,10,2,9,7,15,15,14,10,10,10,10,11,5,13,7,5,4
9,13,14,1,12,11,14,10,11,15,13,15,13,5,6,11,7,6
1,7,15,6,2,10,10,10,10,10,2,10,3,5,12,10,8,10
1,12,8,9,12,8,8,8,8,9,12,8,9,5,5,13,4,8
