18
1,5,5,5,7,7,5,7,5,5,5,5,5,5,5,5,5,6
1,7,5,5,14,11,4,11,4,2,1,7,7,4,3,5,4,10
3,13,5,4,11,13,6,11,7,13,5,12,9,6,9,5,5,14
9,5,7,4,10,3,15,15,15,5,5,6,3,14,3,7,5,14
1,7,13,5,14,10,10,10,11,4,1,12,10,9,13,14,3,14
1,13,5,6,8,10,10,10,10,3,5,5,13,5,6,10,8,10
1,5,7,12,3,14,10,10,11,13,5,4,3,5,14,11,7,12
3,5,13,5,14,10,10,10,9,5,6,2,11,6,10,10,9,6
11,5,7,4,8,9,14,10,3,7,15,12,10,8,8,10,1,12
10,2,11,6,2,3,12,10,9,12,10,2,11,7,5,15,7,4
10,10,10,11,14,11,7,13,5,5,13,15,14,9,6,10,9,4
9,15,12,8,10,10,9,5,7,5,5,15,14,2,10,10,2,2
1,13,7,5,14,10,2,3,15,5,4,8,8,10,11,14,10,10
2,3,15,4,11,13,15,13,13,5,5,5,7,12,10,11,15,14
9,14,9,4,10,2,10,3,7,5,6,3,15,5,12,8,8,10
1,13,7,4,11,15,13,12,8,1,15,14,11,7,5,5,5,12
2,1,15,5,12,9,5,7,5,6,10,10,11,13,5,5,5,6
9,5,13,5,5,5,5,13,5,13,12,8,9,5,5,5,5,12
