18
1,7,7,5,5,7,5,4,2,2,3,5,5,5,7,5,6,2
2,10,9,5,7,13,5,7,13,14,11,6,2,1,15,5,15,12
10,9,5,5,15,5,6,10,2,11,14,11,15,5,14,1,15,4
10,1,7,4,9,7,13,12,10,10,11,14,10,1,14,1,13,6
11,6,11,7,5,13,5,4,10,10,10,8,10,1,15,7,7,14
10,11,12,10,2,3,4,2,11,15,12,1,12,1,14,10,10,10
11,13,4,11,14,11,5,13,14,9,4,1,6,2,10,10,10,10
9,5,7,12,9,14,3,7,13,5,7,5,13,14,11,13,14,10
2,3,15,5,6,11,14,10,3,6,10,2,2,10,9,6,10,10
11,12,9,4,9,14,11,14,11,12,11,14,9,15,5,12,9,14
10,2,2,3,6,10,10,11,13,5,14,10,3,13,5,7,7,14
11,15,15,14,11,14,10,9,6,1,12,11,15,4,1,12,8,8
10,10,8,10,10,11,14,3,15,6,3,14,11,6,2,2,2,2
10,11,5,14,10,10,10,10,8,9,12,9,14,11,14,10,9,14
10,11,4,10,10,10,10,10,2,2,3,7,14,10,8,10,3,14
11,14,2,10,11,14,11,12,9,13,14,8,9,15,6,10,10,10
10,9,13,13,12,10,9,6,1,7,13,5,4,10,11,15,14,10
9,5,5,5,4,9,5,12,1,13,5,5,4,8,8,9,12,8
