18
1,5,7,4,2,3,7,5,6,2,2,1,7,4,3,6,1,6
1,5,14,2,10,10,8,1,14,10,11,7,13,4,10,11,6,10
1,7,12,11,15,12,3,7,15,15,14,10,3,6,11,14,9,14
1,13,6,10,11,6,8,8,10,8,8,9,12,10,10,10,2,10
3,5,15,12,8,9,7,6,10,3,7,5,7,13,14,10,10,10
11,5,13,7,5,5,12,9,13,14,10,1,13,5,14,9,15,12
11,6,3,13,5,7,5,5,5,14,10,1,7,5,12,1,14,2
8,10,10,1,7,13,5,5,5,12,10,3,13,5,4,3,15,12
3,14,10,2,11,6,2,2,3,6,10,9,5,5,6,10,10,2
10,10,10,11,14,9,15,12,9,14,9,5,5,7,13,14,10,10
10,11,13,12,8,1,15,6,3,15,5,7,5,13,4,11,14,10
11,14,1,5,5,5,15,15,14,11,7,13,5,5,4,10,11,14
10,10,1,7,5,5,12,10,10,11,15,6,1,5,7,12,10,10
8,10,2,11,5,7,7,12,10,8,8,9,6,2,11,6,11,14
3,13,13,13,4,10,8,3,13,7,5,4,11,14,10,10,8,10
11,7,5,5,5,13,4,8,1,13,5,6,8,9,14,8,1,14
9,13,5,7,5,5,5,5,5,5,7,12,3,7,15,7,6,10
1,5,5,13,5,5,5,5,5,5,13,5,12,8,8,8,9,12
