16
1,7,6,3,7,7,5,5,7,5,5,5,7,5,5,4
1,14,10,10,10,9,5,7,13,5,5,7,13,5,5,4
2,10,11,15,15,6,2,10,3,6,1,13,7,5,5,4
9,14,10,10,10,10,11,15,14,10,3,5,15,5,5,4
3,12,10,10,10,10,10,10,10,9,15,5,15,5,5,4
11,5,13,12,8,10,10,10,9,4,8,2,11,7,7,6
9,7,5,5,7,13,12,9,5,7,4,11,12,10,8,10
1,15,7,5,12,1,6,3,6,11,7,15,6,10,2,10
3,12,11,5,5,5,14,9,13,14,10,10,10,10,10,10
11,4,10,2,2,2,10,2,2,11,14,10,10,10,10,10
11,4,10,11,14,10,10,10,11,14,11,12,9,15,12,8
11,4,11,14,11,14,10,11,14,10,11,7,5,13,7,6
11,4,10,10,10,10,11,14,10,8,8,9,5,6,10,10
9,7,14,8,10,9,12,9,14,3,5,7,5,13,12,10
1,15,12,1,13,7,5,4,11,13,7,13,5,5,4,10
1,13,5,5,5,13,5,4,8,1,13,5,5,5,5,12
