16
1,5,5,7,5,6,2,2,2,2,3,7,4,2,3,4
2,2,2,10,3,13,14,10,10,11,14,9,7,13,13,4
10,11,13,12,11,4,11,13,13,12,9,5,15,7,5,4
10,11,7,4,11,5,13,5,5,4,1,5,15,14,3,4
10,11,15,6,9,5,7,5,5,4,3,5,12,11,13,4
11,14,10,10,3,5,13,5,5,7,13,7,7,13,7,4
10,10,10,8,11,5,5,5,5,13,7,14,11,4,11,4
11,14,11,4,9,6,3,7,6,1,14,10,10,1,15,4
10,10,11,6,3,12,10,9,12,3,12,10,10,2,10,2
10,10,10,10,11,5,13,5,7,15,4,10,8,10,10,10
10,10,8,9,13,4,3,6,11,15,6,11,6,9,13,14
10,11,5,5,7,5,12,11,12,11,15,12,9,5,7,12
11,15,7,5,13,5,4,10,2,10,10,2,1,6,11,6
10,11,15,5,5,5,4,10,10,10,10,9,5,14,8,10
8,11,15,5,5,5,4,9,14,10,10,3,5,13,7,12
1,13,13,5,5,5,4,1,12,8,9,13,5,4,9,4
