16
1,6,2,1,7,7,7,5,5,5,4,2,3,7,4,2
1,15,15,6,10,9,14,3,5,5,4,9,14,11,5,12
2,10,10,11,14,1,14,11,5,5,5,7,12,9,5,4
11,15,15,14,10,1,15,13,5,5,7,13,6,3,6,2
8,10,10,10,10,3,13,5,5,7,13,6,10,10,9,14
3,14,10,11,14,11,6,3,6,10,2,10,10,10,1,14
10,8,8,8,9,12,11,12,9,13,14,11,15,15,7,12
9,7,5,5,6,3,14,3,6,1,15,14,10,10,10,2
3,13,4,1,14,10,8,9,14,3,14,10,11,14,10,10
10,3,7,6,11,15,5,5,13,12,10,10,10,10,10,10
11,12,10,11,14,10,2,3,7,7,14,10,10,11,15,14
10,3,14,8,10,9,13,12,11,14,11,14,9,14,10,8
10,10,10,3,12,1,5,6,10,11,14,10,1,12,9,6
8,8,10,11,5,5,5,15,14,10,10,10,1,5,5,14
2,2,9,14,2,3,5,12,10,10,10,11,7,7,5,12
9,13,5,13,12,9,5,4,8,8,8,8,8,9,5,4
