16
1,7,5,5,7,7,5,5,5,5,5,5,5,7,5,4
2,11,7,5,13,13,5,5,6,2,1,5,5,13,5,6
9,14,9,5,4,3,6,2,11,13,7,5,5,5,5,12
3,13,5,7,5,12,10,10,11,4,9,5,7,5,7,6
10,1,7,15,6,3,12,11,13,5,6,2,9,6,10,10
11,5,12,8,11,13,6,10,3,5,14,10,3,12,10,10
10,3,5,7,13,4,11,12,10,3,14,10,10,2,10,10
11,13,7,15,7,5,14,3,14,10,9,15,15,14,11,14
11,6,10,10,11,6,10,9,12,10,2,10,8,9,12,10
10,10,10,10,10,8,9,5,4,9,14,11,6,2,3,14
11,14,10,11,14,2,3,5,7,7,14,10,11,13,14,8
10,10,10,10,9,13,13,6,10,10,10,10,10,1,13,6
10,11,15,12,3,5,5,12,10,10,11,14,10,1,5,14
10,10,9,7,15,5,5,6,10,9,13,15,14,3,5,12
11,14,1,12,10,1,5,15,14,2,1,14,9,15,4,2
8,8,1,5,13,5,5,12,9,12,1,12,1,13,5,12
