16
1,7,5,6,3,4,3,4,3,5,5,5,7,5,6,2
2,10,2,9,13,7,15,4,10,2,2,2,9,6,10,10
10,9,14,3,7,14,11,7,15,14,11,12,3,14,11,14
10,1,14,11,14,8,8,8,10,11,15,5,12,10,10,10
11,5,14,10,10,3,5,5,12,10,9,7,6,10,8,10
8,1,13,14,11,13,5,7,4,11,7,12,10,10,2,10
2,3,7,14,10,1,7,13,5,14,10,2,10,10,10,10
11,12,8,8,8,1,14,3,6,10,10,10,11,15,15,14
11,7,4,2,2,3,12,9,13,14,11,12,9,12,10,8
10,9,5,13,13,15,7,5,5,13,15,5,5,7,13,4
9,6,3,7,5,14,10,3,7,5,15,7,5,13,4,2
3,13,14,8,1,12,10,10,10,2,10,9,5,5,6,10
11,5,13,5,7,5,14,10,10,9,14,2,3,7,14,10
11,7,5,4,10,1,14,10,11,7,15,13,12,8,11,14
8,11,5,5,15,5,13,14,10,10,8,1,7,5,12,8
1,13,5,4,9,5,5,13,12,9,4,1,13,5,5,4
