16
1,5,5,7,4,2,1,6,2,3,7,6,2,2,3,4
1,5,5,15,4,11,5,14,11,12,8,9,13,15,13,6
3,7,5,15,4,10,3,12,11,7,7,5,6,10,1,14
10,10,1,15,4,8,11,5,12,8,9,4,11,14,3,12
10,10,3,14,2,1,13,7,4,2,2,3,12,11,13,6
11,14,10,11,12,3,5,13,5,15,13,15,4,8,1,14
10,10,10,9,6,10,3,5,5,15,4,9,5,7,4,10
10,11,12,1,13,13,15,7,6,11,7,5,4,9,7,12
10,10,3,6,1,7,14,9,12,11,15,4,2,3,15,6
11,15,14,11,7,12,9,7,5,12,9,6,11,14,8,10
11,14,10,10,10,1,5,13,5,6,2,11,14,9,6,8
11,14,10,10,9,7,5,5,5,14,11,12,8,3,13,4
10,10,11,14,3,13,5,5,5,14,9,5,7,13,5,4
10,10,10,10,10,3,6,3,6,10,3,7,13,5,5,4
10,10,11,15,13,14,9,12,8,10,9,13,5,5,7,4
8,9,12,9,5,13,5,5,5,13,5,5,5,5,13,4
