16
1,5,5,7,4,1,5,7,5,7,5,4,3,5,6,2
3,5,5,13,4,1,5,15,5,13,6,3,12,3,13,14
9,5,5,5,6,3,5,15,5,4,10,10,3,15,6,10
3,7,7,5,12,10,3,12,2,3,13,14,8,8,10,10
10,10,9,7,5,14,11,5,14,10,3,12,1,7,12,8
10,10,1,15,6,8,9,4,9,14,9,5,5,14,3,4
10,10,1,13,15,5,7,5,5,14,3,5,5,14,11,6
10,11,5,7,12,3,12,3,6,10,10,3,7,15,14,8
10,10,1,13,6,9,4,9,14,9,14,10,10,10,9,6
11,14,3,5,13,7,4,3,13,5,12,8,8,10,1,14
10,10,10,2,3,14,2,9,5,6,2,2,3,15,7,14
8,11,12,11,14,10,10,1,5,13,13,15,14,8,8,10
2,11,4,8,10,9,13,5,5,7,5,13,14,2,3,12
10,10,2,3,14,1,7,7,5,13,5,5,14,10,11,4
10,10,11,14,10,2,10,11,5,7,5,5,12,10,11,4
9,13,12,8,9,13,12,9,5,13,5,5,5,13,13,4
