16
1,6,1,7,5,5,7,4,1,7,5,4,1,5,7,4
3,15,7,13,7,6,11,6,3,13,4,2,1,5,13,6
10,10,10,1,12,10,10,10,11,5,5,13,5,5,6,10
8,10,9,5,4,11,12,9,13,5,5,5,7,5,13,14
3,13,5,5,7,13,6,3,6,3,4,2,11,7,5,12
11,5,5,5,13,7,15,14,10,11,4,11,15,13,7,4
9,5,7,5,5,14,10,8,9,13,6,8,10,1,13,6
2,3,15,7,6,11,14,3,6,2,11,5,14,2,2,10
10,10,8,8,9,14,9,13,12,9,14,1,12,10,10,10
11,15,7,5,7,13,5,5,7,5,13,7,4,11,15,14
10,8,9,5,15,6,3,5,13,5,7,13,6,10,10,10
10,2,3,5,14,11,13,7,6,3,13,4,10,10,10,10
11,13,13,4,8,10,3,12,10,9,7,4,10,10,10,10
9,6,2,1,6,10,11,4,8,1,15,4,10,10,10,10
1,15,14,1,15,15,13,7,5,6,11,5,15,14,10,10
1,12,9,5,12,8,1,13,4,9,13,4,9,13,13,12
