16
1,7,5,6,3,6,3,7,5,5,5,7,5,7,5,4
1,14,3,15,14,10,10,10,1,7,4,10,3,13,5,6
3,12,11,14,10,10,11,14,3,12,3,14,10,3,7,14
9,7,14,11,15,14,10,11,14,3,14,9,12,8,10,10
3,12,10,10,10,10,10,10,11,12,10,1,5,7,12,10
9,6,10,10,10,10,10,10,11,4,10,3,7,13,4,10
1,15,12,8,9,13,14,8,11,4,10,10,9,5,5,14
1,13,5,7,5,5,12,3,14,3,12,11,5,5,4,10
3,5,5,13,7,5,6,9,12,9,5,14,1,7,4,10
9,7,5,7,13,5,13,5,7,5,5,14,2,11,7,14
3,15,5,13,5,5,7,7,14,2,3,14,10,10,10,10
10,10,1,5,5,5,14,8,9,15,14,11,15,14,10,10
8,11,7,5,5,5,13,6,3,12,10,8,8,8,10,10
1,15,13,5,5,7,6,9,15,5,13,7,5,5,12,10
1,13,5,7,5,14,10,3,12,1,5,13,5,5,6,10
1,5,5,13,5,13,12,9,5,5,5,5,5,5,13,12
