14
1,7,5,4,2,1,7,5,5,5,7,5,5,4
1,13,7,5,13,5,14,2,2,2,10,2,3,6
2,2,10,2,2,1,15,15,13,13,13,13,14,10
10,11,15,14,10,1,14,10,3,6,2,3,14,10
10,10,8,10,11,6,10,10,10,10,10,10,10,10
10,10,3,12,10,11,12,9,14,11,15,14,11,14
11,12,9,5,14,8,3,6,10,10,10,8,10,8
11,7,4,1,15,4,9,13,15,14,10,3,15,6
10,11,7,7,14,3,6,3,12,10,10,10,10,8
10,10,10,8,11,14,10,10,2,11,15,14,9,6
10,10,10,1,14,10,11,12,11,14,8,10,1,14
11,14,10,1,14,10,11,4,10,10,2,10,1,14
10,10,10,1,15,14,11,5,14,10,10,10,3,14
8,9,13,5,12,8,9,4,8,9,12,9,12,8
