14
1,6,1,5,5,5,6,3,6,2,1,7,5,6
1,14,1,5,7,5,13,14,10,10,3,14,3,14
3,13,5,7,13,5,4,10,11,14,10,9,12,10
11,4,1,15,6,1,6,10,10,10,10,2,2,10
11,6,3,14,11,5,12,8,8,11,14,11,14,10
8,11,14,10,11,5,5,5,5,15,13,14,10,10
2,10,10,10,11,6,3,6,1,13,6,10,10,10
11,14,10,11,14,10,9,13,5,7,13,14,10,10
10,10,10,10,10,11,7,5,5,13,4,10,11,14
10,10,10,10,10,11,14,2,1,7,4,11,14,10
10,10,10,10,10,8,11,13,5,13,5,14,8,8
9,14,10,10,11,5,13,5,5,7,6,10,3,4
3,12,11,15,15,5,5,5,7,12,11,13,13,4
9,5,13,12,9,5,5,5,13,5,13,5,5,4
