14
1,7,5,5,5,5,7,7,5,5,5,7,5,4
3,15,6,3,5,6,10,11,5,7,6,10,2,2
10,11,15,12,1,13,12,11,4,10,11,14,11,14
10,10,11,6,2,2,3,13,7,15,12,11,12,8
10,10,10,9,13,13,14,3,12,10,1,13,5,6
11,14,10,2,2,3,12,9,6,10,1,6,3,14
10,10,10,11,14,10,3,6,10,8,1,13,12,10
10,10,11,14,10,11,13,12,11,7,5,5,5,12
10,11,14,10,10,10,3,6,10,9,6,3,7,6
10,10,11,14,11,15,12,11,13,5,13,12,10,10
10,10,10,10,10,8,1,13,5,6,2,2,11,14
10,10,10,8,11,5,5,6,3,14,11,15,14,10
10,10,11,6,10,1,5,15,12,11,12,10,10,10
9,13,12,9,12,1,5,13,5,13,4,8,8,8
